school,course_code,course_title,prof_name,program,prerequisite
Graduate School of Artificial Intelligence,AI51301,Learning Theory,Gi-soo Kim,Master's Course,
Graduate School of Artificial Intelligence,AI51701,Deep Learning for NLP/NLU,TAEHWAN KIM,Master's Course,
Graduate School of Artificial Intelligence,AI51801,Deep Generative Models,Seungryul Baek,Master's Course,
Graduate School of Artificial Intelligence,AI51901,Advanced Machine Learning Topics,Kwang In Kim,Master's Course,
Graduate School of Artificial Intelligence,AI59001,AI Graduate Seminar,Sungil Kim,Master's Course,
Graduate School of Artificial Intelligence,AI69001,Master's Research,Sam H. Noh,Master's Course,
Graduate School of Interdisciplinary Management,BAT51101,Introduction to Data Mining,Han-Gyun Woo,Master's Course,
Graduate School of Interdisciplinary Management,BAT51301,Statistical Learning,Yeolib Kim,Master's Course,
Graduate School of Interdisciplinary Management,BAT51501,Analytics Programming,Jeongmin Byun,Master's Course,
Graduate School of Interdisciplinary Management,BAT52901,Topics in Business Analytics Ⅳ(Developing innovative service with maritime data),Han-Gyun Woo,Master's Course,
Graduate School of Interdisciplinary Management,BAT53101,Multivariate Statistics,Kee Yeun Lee,Master's Course,
Graduate School of Interdisciplinary Management,BAT53201,IT Strategy,Yeolib Kim,Master's Course,
Graduate School of Interdisciplinary Management,BAT54201,Text Mining,Jeongmin Byun,Master's Course,
Graduate School of Interdisciplinary Management,BAT69101,Capstone Project,Han-Gyun Woo,Master's Course,
Graduate School of Interdisciplinary Management,BAT89101,Independent Study,Han-Gyun Woo,Master's Course,
Department of Biological Sciences,BIO50101,Advanced Biochemistry,Changwook Lee,Master's Course,
Department of Biological Sciences,BIO50501,Cancer Biology,Young Chan Chae,Master's Course,
Department of Biological Sciences,BIO51101,Introduction to Biological Physics,Jayil Lee,Master's Course,
Department of Biological Sciences,BIO51201,Emerging Principles of Gene Expression,Chunghun Lim,Master's Course,
Department of Biological Sciences,BIO59001,Seminar,Hongtae Kim,Master's Course,
Department of Biological Sciences,BIO60101,Protein Crystallography,Changwook Lee,Master's Course,
Department of Biological Sciences,BIO60801,Advanced Endocrinology and Metabolism,Jang Hyun Choi,Master's Course,
Department of Biological Sciences,BIO69001,Master's Research,Hongtae Kim,Master's Course,
Department of Biomedical Engineering,BME50701,Advanced Genome Engineering,Seung Woo Cho,Master's Course,
Department of Biomedical Engineering,BME59001,Seminar,Woonggyu Jung,Master's Course,
Department of Biomedical Engineering,BME69001,Master's Research,Woonggyu Jung,Master's Course,
School of Energy and Chemical Engineering,BST53801,Special Topics on Battery Science and Technology V(Artificial Intelligence in Materials Science),Dong-Hwa Seo,Master's Course,
Department of Chemistry,CHM51101,Advanced Organic Chemistry,Sung You Hong,Master's Course,
Department of Chemistry,CHM52201,Supramolecular Chemistry,Ja Hyoung Ryu,Master's Course,
Department of Chemistry,CHM55301,Bioinorganic Chemistry,Jaeheung Cho,Master's Course,
Department of Chemistry,CHM58201,Nanochemistry,Hyeon Suk Shin,Master's Course,
Department of Chemistry,CHM59001,Seminar,Duyoung Min,Master's Course,
Department of Chemistry,CHM64301,Molecular Spectroscopy,YUNG SAM KIM,Master's Course,
Department of Chemistry,CHM68101,Advanced Instrumental Analysis,Hyunchul Oh,Master's Course,
Department of Chemistry,CHM69001,Master's Research,Ja Hyoung Ryu,Master's Course,
Department of Computer Science and Engineering,CSE51101,Advanced Computer Architecture,Hyungon Moon,Master's Course,
Department of Computer Science and Engineering,CSE54401,Advanced Machine Learning,Kwang In Kim,Master's Course,
Department of Computer Science and Engineering,CSE54501,Advanced Computer Vision,Seungryul Baek,Master's Course,
Department of Computer Science and Engineering,CSE55201,Program Analysis,Mijung Kim,Master's Course,
Department of Computer Science and Engineering,CSE59001,CSE Graduate Seminar,Myeongjae Jeon,Master's Course,
Department of Computer Science and Engineering,CSE61101,S.T. in CE II (3D Vision and Machine Perception),Kyungdon Joo,Master's Course,
Department of Computer Science and Engineering,CSE69001,Master's Research,Woongki Baek,Master's Course,
Department of Design,DES59001,The Seminars,Ian Oakley,Master's Course,
Department of Design,DES60101,Professional Design Practice,Yunwoo Jeong,Master's Course,
Department of Design,DES60401,Embedded Systsem for HRI,Hui Sung Lee,Master's Course,
Department of Design,DES69101,Master Graduation Project,Chajoong Kim,Master's Course,
Department of Urban and Environmental Engineering,DME51001,Structural Geology,Min-Cheol Kim,Master's Course,
Department of Urban and Environmental Engineering,DME61001,Micro-meteorology and Environment,Chang Keun Song,Master's Course,
School of Energy and Chemical Engineering,ECHE59001,Seminar,Kwanyong Seo,Master's Course,
School of Energy and Chemical Engineering,ECHE69001,Master's Research,Hyun-Kon Song,Master's Course,
Department of Electrical Engineering,EE53001,Image Processing,Seungjoon Yang,Master's Course,
Department of Electrical Engineering,EE55301,Digital Integrated Circuits,Kyuho Lee,Master's Course,
Department of Electrical Engineering,EE55801,Advanced Analog IC Design,Franklin Bien,Master's Course,
Department of Electrical Engineering,EE55901,Wireless IC Design,Heein Yoon,Master's Course,
Department of Electrical Engineering,EE57101,Advanced Electrodynamics,Gangil Byun,Master's Course,
Department of Electrical Engineering,EE57801,AdvancedSemiconductor Device Engineering,Myungsoo KIM,Master's Course,
Department of Electrical Engineering,EE59001,EE Graduate Seminar,Gangil Byun,Master's Course,
Department of Electrical Engineering,EE63501,S.T in Electronic Design and ApplicationsⅠ(Power Management IC),Se-Un Shin,Master's Course,
Department of Electrical Engineering,EE69001,Master's Research,Jee Hoon Jung,Master's Course,
Department of Urban and Environmental Engineering,EES50201,Introduction to environmental analysis,Sung-Deuk Choi,Master's Course,
Department of Urban and Environmental Engineering,EES59001,Seminar,Sang Seo Park,Master's Course,
Department of Urban and Environmental Engineering,EES65301,Atmospheric Radiation,Sang Seo Park,Master's Course,
School of Energy and Chemical Engineering,ENE51501,Special Topics on Solar Energy,Sang Il Seok,Master's Course,
School of Energy and Chemical Engineering,ENE61901,Energy Engineering I(Organic and Nano Optoelectronic Materials),Sung-Yeon Jang,Master's Course,
Department of Urban and Environmental Engineering,ENV60401,Aquatic Chemistry,Young-Nam Kwon,Master's Course,
Graduate School of Technology and Innovation Management,ETM50101,"Energy Systems, Policy, and Market Analysis",Jong dall Kim,Master's Course,
Graduate School of Technology and Innovation Management,ETM50301,Wind Energy Technology,Jone Oh,Master's Course,
Graduate School of Technology and Innovation Management,ETM50701,Energy Project Financing,Junyoup Lee,Master's Course,
Department of Industrial Engineering,IE50501,Linear Programming,Sang Jin Kweon,Master's Course,
Department of Industrial Engineering,IE51101,Introduction to Deep Learning,Jaejun Yoo,Master's Course,
Department of Industrial Engineering,IE51301,Neural Network Learning Theory,Gi-soo Kim,Master's Course,
Department of Industrial Engineering,IE69001,Master's Research,Namhun Kim,Master's Course,
Department of Mechanical Engineering,MEN51201,Advanced Combustion,Chun Sang Yoo,Master's Course,
Department of Mechanical Engineering,MEN53101,Finite Element Method,Hayoung Chung,Master's Course,
Department of Mechanical Engineering,MEN55601,Laser Materials Interaction & Processing I,Hyungson Ki,Master's Course,
Department of Mechanical Engineering,MEN57201,Nonlinear Systems,Hungsun Son,Master's Course,
Department of Mechanical Engineering,MEN57301,Advanced Control Systems I,Cheolhyeon Kwon,Master's Course,
Department of Mechanical Engineering,MEN57601,Biomechanics of Movement,Sang Hoon Kang,Master's Course,
Department of Mechanical Engineering,MEN59001,The Seminars,Chun Sang Yoo,Master's Course,
Department of Mechanical Engineering,MEN63101,Elastic Waves,Joo Hwan Oh,Master's Course,
Department of Mechanical Engineering,MEN69001,Master's Research,Chun Sang Yoo,Master's Course,
School of Business Administration,MGT51101,Research Methodology,Lu Zhang,Master's Course,
School of Business Administration,MGT51201,Econometrics,Saiah Lee,Master's Course,
School of Business Administration,MGT51301,Multivariate Analysis,Kee Yeun Lee,Master's Course,
School of Business Administration,MGT59101,Independent Study,Young Rok Choi,Master's Course,
School of Business Administration,MGT69001,Master's Research,Young Rok Choi,Master's Course,
School of Business Administration,MIS50201,Data Mining,Han-Gyun Woo,Master's Course,
School of Business Administration,MIS51301,IT Strategy,Yeolib Kim,Master's Course,
Department of Materials Science and Engineering,MSE54001,Wearable Electronics,Moon Kee Choi,Master's Course,
Department of Materials Science and Engineering,MSE55101,Surface & Interface Sciences,Hyung-Joon Shin,Master's Course,
Department of Materials Science and Engineering,MSE57001,Intelligent Materials and Applications,Jiyun Kim,Master's Course,
Department of Materials Science and Engineering,MSE57101,Organic Optoelectric Materials&Devices,Myoung Hoon Song,Master's Course,
Department of Materials Science and Engineering,MSE59001,The Seminars,Hyung-Joon Shin,Master's Course,
Department of Materials Science and Engineering,MSE61201,Alloy Design,Sung Soo Park,Master's Course,
Department of Materials Science and Engineering,MSE68101,S.T. on MSE Ⅰ (Materials for Photoelectrochemical Devices),Han-Hee Cho,Master's Course,
Department of Materials Science and Engineering,MSE69001,Master's Research,Kyoung Jin Choi,Master's Course,
Department of Mathematical Sciences,MTH50101,Real analysis,Hantaek Bae,Master's Course,
Department of Mathematical Sciences,MTH50501,Numerical Analysis & applications,Bongsoo Jang,Master's Course,
Department of Mathematical Sciences,MTH52201,Introduction to Partial Differntial Equations,Chang-Yeol Jung,Master's Course,
Department of Mathematical Sciences,MTH55101,Algebra I,Jaehyun Cho,Master's Course,
Department of Mathematical Sciences,MTH56701,Algebraic Geometry Ⅱ,Chol Park,Master's Course,
Department of Mathematical Sciences,MTH59001,The Seminars,Chang Hyeong Lee,Master's Course,
Department of Mathematical Sciences,MTH69001,Master's Reserach,Chang Hyeong Lee,Master's Course,
Department of Nuclear Engineering,NE50201,Engineering of Nuclear Energy System,In Cheol Bang,Master's Course,
Department of Nuclear Engineering,NE51101,Nuclear Fuel Engineering,Sangjoon Ahn,Master's Course,
Department of Nuclear Engineering,NE54001,Advanced Deep Learning Project,Jimin Lee,Master's Course,
Department of Nuclear Engineering,NE59001,The Seminars,Jaeyeong Park,Master's Course,
Department of Nuclear Engineering,NE61901,Special Topics in Nuclear Engineering I (Nuclear Safety and Regulatory Policy),Byung Joo Min,Master's Course,
Department of Nuclear Engineering,NE63901,Special Topics in Nuclear Engineering III (Perturbation Methods),Eisung Yoon,Master's Course,
Department of Nuclear Engineering,NE69001,Master's Research,In Cheol Bang,Master's Course,
Department of Physics,PHY50101,Classical Mechanics,KYUJIN KWAK,Master's Course,
Department of Physics,PHY50301,Electrodynamics I,Min Sup Hur,Master's Course,
Department of Physics,PHY50501,Quantum Mechanics I,Hosub Jin,Master's Course,
Department of Physics,PHY51101,Quantum Optics and Quantum Dynamics,Je-Hyung Kim,Master's Course,
Department of Physics,PHY56601,Plasma Diagnostics,Yongkyoon In,Master's Course,
Department of Physics,PHY59001,Seminar,Changhee Sohn,Master's Course,
Department of Physics,PHY69001,Master's Research,Kibog Park,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE51101,Semiconductor Processing and Device Lab,Changwook Jeong,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE52301,Synchrotron Radiation Science and Technology,Tae Joo Shin,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53301,Intelligent Materials and Applications,Jiyun Kim,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE59001,The Seminars,Tae-Sik Yoon,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE62301,Advanced Mass Spectrometry,JEONG KON SEO,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63701,Organic Optoelectric Materials and Devices,Myoung Hoon Song,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63801,Wearable Displays,Moon Kee Choi,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63901,Surface and Interface Science of Nanomaterials,Hyung-Joon Shin,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE64201,Nanochemistry for Semiconductor,Hyeon Suk Shin,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE69001,Master's Research,Hongsik Jeong,Master's Course,
Department of Urban and Environmental Engineering,UEE69001,Master's Research,Myoungsu Shin,Master's Course,
Department of Urban and Environmental Engineering,UIE50701,Finite Element Method,Young Joo Lee,Master's Course,
School of New UNISTars,BIO10101,General Biology,"Byoung Heon Kang
Kyungjae Myung
Hyeran Jang",Undergraduate Course,
School of New UNISTars,BIO10102,General Biology,"Byoung Heon Kang
Kyungjae Myung
Hyeran Jang",Undergraduate Course,
School of New UNISTars,BIO10103,General Biology,"Byoung Heon Kang
Kyungjae Myung
Hyeran Jang",Undergraduate Course,
Department of Biological Sciences,BIO20101,Molecular Biology,Hongtae Kim,Undergraduate Course,
Department of Biological Sciences,BIO20201,Molecular Biology Laboratory,Jayil Lee,Undergraduate Course,
Department of Biological Sciences,BIO22101,Biochemistry II,Changwook Lee,Undergraduate Course,
Department of Biological Sciences,BIO30601,Neuroscience Ⅱ,Jae Ick Kim,Undergraduate Course,
Department of Biological Sciences,BIO33001,Bioinformatics,Dougu Nam,Undergraduate Course,
Department of Biological Sciences,BIO33201,Human Physiology,Eunhee Kim,Undergraduate Course,
Department of Biological Sciences,BIO33301,Genetics,Taejoon Kwon,Undergraduate Course,
Department of Biological Sciences,BIO36101,Cell Biology & Genetics Laboratory,Chunghun Lim,Undergraduate Course,
Department of Biological Sciences,BIO40101,Special Topic in Biological Sciences I (Viral Infection Biology),Sangjoon Lee,Undergraduate Course,
Department of Biological Sciences,BIO40201,Special Topics in Biological Sciences II (Cell Biology II),Chan Young Park,Undergraduate Course,
Department of Biological Sciences,BIO44001,Developmental Biology Ⅱ,Tae Joo Park,Undergraduate Course,Developmental Biology
Department of Biomedical Engineering,BME20101,Introduction to Network Biology,Cheol-Min Ghim,Undergraduate Course,
Department of Biomedical Engineering,BME20601,Cognitive Neuroscience,Dongil Chung,Undergraduate Course,
Department of Biomedical Engineering,BME21101,Engineering Physiology,Kyemyung PARK,Undergraduate Course,
Department of Biomedical Engineering,BME21901,Optical Imaging,Chung Hun Park,Undergraduate Course,
Department of Biomedical Engineering,BME30201,Stem Cell Engineering,Jeong Beom Kim,Undergraduate Course,
Department of Biomedical Engineering,BME30601,Biostatistics for Engineers,Whan Hyuk Choi,Undergraduate Course,
Department of Biomedical Engineering,BME30801,Sensation and Perception,Oh-Sang Kwon,Undergraduate Course,
Department of Biomedical Engineering,BME31301,Biomedical Instrumentation Laboratory,Joon-Mo Yang,Undergraduate Course,
Department of Biomedical Engineering,BME33101,Introduction to Neuroimaging,Hyung Joon Cho,Undergraduate Course,
Department of Biomedical Engineering,BME33301,Genetics,Taejoon Kwon,Undergraduate Course,
Department of Biomedical Engineering,BME39001,Searching for Novel CRISPR/Cas System at Gamak-pond,"Taejoon Kwon
Seung Woo Cho",Undergraduate Course,
Department of Biomedical Engineering,BME40101,Special Topics in Biomedical Engineering I (Genomics 101),"Taejoon Kwon
Seung Woo Cho",Undergraduate Course,
Department of Biomedical Engineering,BME40201,Special Topics in Biomedical Enginering Ⅱ (Understanding Research Articles in Biotechnology),Seung Woo Cho,Undergraduate Course,
Department of Biomedical Engineering,BME49001,Capstone Project,Jinmyoung Joo,Undergraduate Course,
School of New UNISTars,CHM10101,General Chemistry I,John Thomas King,Undergraduate Course,
School of New UNISTars,CHM10201,General Chemistry II,Geun Young Jin,Undergraduate Course,
School of New UNISTars,CHM10202,General Chemistry II,BongSoo Kim,Undergraduate Course,
School of New UNISTars,CHM10203,General Chemistry II,YungDoug Suh,Undergraduate Course,
School of New UNISTars,CHM10501,General Chemistry Lab I,Sang Hoon Joo,Undergraduate Course,
School of New UNISTars,CHM10502,General Chemistry Lab I,BongSoo Kim,Undergraduate Course,
School of New UNISTars,CHM10503,General Chemistry Lab I,BongSoo Kim,Undergraduate Course,
School of New UNISTars,CHM10504,General Chemistry Lab I,Ja Hyoung Ryu,Undergraduate Course,
School of New UNISTars,CHM10601,General Chemistry Lab II,Sang Hoon Joo,Undergraduate Course,General Chemistry I
School of New UNISTars,CHM10602,General Chemistry Lab II,BongSoo Kim,Undergraduate Course,General Chemistry I
School of New UNISTars,CHM10604,General Chemistry Lab II,BongSoo Kim,Undergraduate Course,General Chemistry I
School of New UNISTars,CHM10606,General Chemistry Lab II,BongSoo Kim,Undergraduate Course,General Chemistry I
School of New UNISTars,CHM10607,General Chemistry Lab II,BongSoo Kim,Undergraduate Course,General Chemistry I
Department of Chemistry,CHM20101,Organic Chemistry Laboratory,"Sung You Hong
Ja Hyoung Ryu
Jung-Min Kee",Undergraduate Course,
Department of Chemistry,CHM20102,Organic Chemistry Laboratory,Ja Hyoung Ryu,Undergraduate Course,
Department of Chemistry,CHM21201,Organic Chemistry II,Cheol-Min Park,Undergraduate Course,
Department of Chemistry,CHM21202,Organic Chemistry II,Sung You Hong,Undergraduate Course,
Department of Chemistry,CHM23201,Physical Chemistry II,Thomas Schultz,Undergraduate Course,
Department of Chemistry,CHM30201,Physical Chemistry Lab,Oh Hoon Kwon,Undergraduate Course,Physical Chemistry I
Department of Chemistry,CHM30202,Physical Chemistry Lab,YUNG SAM KIM,Undergraduate Course,Physical Chemistry I
Department of Chemistry,CHM30301,Analytical/Materials Chemistry Lab,Sang Hoon Joo,Undergraduate Course,
Department of Chemistry,CHM32201,Biochemistry II,Duyoung Min,Undergraduate Course,
Department of Chemistry,CHM32401,Spectroscopy in Organic Chemistry,Jung-Min Kee,Undergraduate Course,
Department of Chemistry,CHM35201,Inorganic Chemistry II,Jan-Uwe Rohde,Undergraduate Course,
Department of Chemistry,CHM43101,Introduction to Molecular Spectroscopy,YungDoug Suh,Undergraduate Course,
Department of Chemistry,CHM45101,Inorganic Materials Analysis,Hyunchul Oh,Undergraduate Course,
Department of Chemistry,CHM47501,Electrochemistry,Sang Hoon Joo,Undergraduate Course,
Department of Computer Science and Engineering,CSE22101,Data Structures,TAEHWAN KIM,Undergraduate Course,
Department of Computer Science and Engineering,CSE26101,Computer Architecture,Sam H. Noh,Undergraduate Course,
Department of Computer Science and Engineering,CSE27101,Principles of Programming Languages,Seulki Lee,Undergraduate Course,
Department of Computer Science and Engineering,CSE30201,Building Customized Computers,Hyungon Moon,Undergraduate Course,
Department of Computer Science and Engineering,CSE32101,Database Systems,Junghoon KIM,Undergraduate Course,Data Structures
Department of Computer Science and Engineering,CSE33201,Theory of Computation,Mijung Kim,Undergraduate Course,Discrete Mathematics
Department of Computer Science and Engineering,CSE36201,Artificial Intelligence,Tsz-Chiu Au,Undergraduate Course,Applied Linear Algebra
Department of Computer Science and Engineering,CSE40301,Deep Learning,Hyounghun Kim,Undergraduate Course,
Department of Computer Science and Engineering,CSE41201,Parallel Computing,Myeongjae Jeon,Undergraduate Course,Operating Systems
Department of Computer Science and Engineering,CSE47101,Computer Graphics,Ilwoo Lyu,Undergraduate Course,Data Structures
Department of Computer Science and Engineering,CSE47201,Computer Vision,Seungryul Baek,Undergraduate Course,Data Structures
Department of Design,DES20201,Product Design Fundamentals,James Andrew Self,Undergraduate Course,Designing Ambient Things
Department of Design,DES22201,Fundamental Digital Design,Hwang Kim,Undergraduate Course,
Department of Design,DES23101,Design Knowledge and Skills,Kyungho Lee,Undergraduate Course,
Department of Design,DES23201,3D CAD,KwanMyung Kim,Undergraduate Course,
Department of Design,DES30201,Product Design II,Seungho Lee,Undergraduate Course,Product Design I
Department of Design,DES33201,UX Design Research Methods,Chajoong Kim,Undergraduate Course,
Department of Design,DES34101,Fundamental Electrical-Electronic Practi,Hui Sung Lee,Undergraduate Course,
Department of Design,DES40601,Usability Engineering,Ian Oakley,Undergraduate Course,
Department of Design,DES40701,Systems thinking for Designers,Seungho Lee,Undergraduate Course,
Department of Design,DES43201,Creative Design II,KwanMyung Kim,Undergraduate Course,Creative Design 1
School of Energy and Chemical Engineering,ECHE20201,Organic Chemistry II,Changduk Yang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE20202,Organic Chemistry II,Jiseok Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE22201,Physical Chemistry II : Kinetics,JunHee Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE22301,Lab for Energy Materials,"Ji-Hyun Jang
Jongnam Park",Undergraduate Course,
School of Energy and Chemical Engineering,ECHE22302,Lab for Energy Materials,"Ji-Hyun Jang
Jongnam Park",Undergraduate Course,
School of Energy and Chemical Engineering,ECHE23101,Chemical Engineering Thermodynamics,Chang Young Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE24001,Engineering Biochemistry,Sunghoon Park,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE30101,Computational Methods for Chemical Eng.,Donghyuk Kim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE31101,Chemical Reaction Engineering,Kwangjin An,Undergraduate Course,Differential Equations
School of Energy and Chemical Engineering,ECHE31401,Energy Conversion and Storage Lab,Youngsik Kim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32101,Polymer Material Science,Sung-Yeon Jang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32201,Instrumental Analysis,Hyunhyub Ko,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE32601,Inorganic ChemistryⅡ,Ji Wook Jang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE34101,Engineering Biology Laboratory,"Sung Kuk Lee
Sunghoon Park",Undergraduate Course,
School of Energy and Chemical Engineering,ECHE34102,Engineering Biology Laboratory,"Sung Kuk Lee
Sunghoon Park",Undergraduate Course,
School of Energy and Chemical Engineering,ECHE35001,AI-driven Design of Energy Materials and Process,Dong-Hwa Seo,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE35201,Advanced Fluid Mechanics,Kang Hee Ku,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE36101,Organic/Physical Chemistry Laboratory,Jiseok Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE36102,Organic/Physical Chemistry Laboratory,Jiseok Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE41001,Phase Transformation,Seok Ju Kang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE43101,Intro to Catalysis,Jae Sung Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE43201,Chemical Engineering Mathematics,Chang Young Lee,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE44201,Process Design and Economics,Hankwon Lim,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE44301,Chemical process Control,In-Beum Lee,Undergraduate Course,
Department of Electrical Engineering,EEE20201,Digital Logic and Laboratory,Jimin Kwon,Undergraduate Course,
Department of Electrical Engineering,EEE20501,Signals and Systems,Jaejun Yoo,Undergraduate Course,
Department of Electrical Engineering,EEE23101,Electromagnetics II,EunMi Choi,Undergraduate Course,Electromagnetics I
Department of Electrical Engineering,EEE24101,Physical Electronics,Jongwon Lee,Undergraduate Course,
Department of Electrical Engineering,EEE30301,Microelectronics I and Laboratory,Heein Yoon,Undergraduate Course,Basic Circuit Theory and Laboratory
Department of Electrical Engineering,EEE31201,VLSI Design,Kyuho Lee,Undergraduate Course,Microelectronics I and Laboratory
Department of Electrical Engineering,EEE32101,Computer Networks,Hyoil Kim,Undergraduate Course,
Department of Electrical Engineering,EEE33101,Microwave Engineering,Gangil Byun,Undergraduate Course,Electromagnetics I
Department of Electrical Engineering,EEE35201,Digital Signal Processing,Seungjoon Yang,Undergraduate Course,
Department of Electrical Engineering,EEE43101,Power Electronics,Se-Un Shin,Undergraduate Course,Electric Energy Systems
Department of Electrical Engineering,EEE44201,Semiconductor VLSI Devices Engineering,Kyung Rok Kim,Undergraduate Course,Semiconductor Engineering
School of Liberal Arts,ENG11001,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11002,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11003,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11004,English Listening&Speaking(Intermediate),Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11005,English Listening&Speaking(Intermediate),Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11006,English Listening&Speaking(Intermediate),Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11101,English Listening&Speaking(Advanced),Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11102,English Listening&Speaking(Advanced),Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11201,English Reading&Writing,William Fitzpatrick,Undergraduate Course,
School of Liberal Arts,ENG11202,English Reading&Writing,William Fitzpatrick,Undergraduate Course,
School of Liberal Arts,ENG11203,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11204,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11205,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11206,English Reading&Writing,Stephen Hazel,Undergraduate Course,
School of Liberal Arts,ENG11207,English Reading&Writing,Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11208,English Reading&Writing,Peter Kim,Undergraduate Course,
School of Liberal Arts,ENG11212,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11213,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Liberal Arts,ENG11214,English Reading&Writing,Ali Safavi,Undergraduate Course,
School of Business Administration,FIA30101,Investment Analysis,Sang-Ook Shin,Undergraduate Course,Statistics
School of Business Administration,FIA43101,Financial Time-Series Analysis,Hope Hyeun Han,Undergraduate Course,Statistics
School of Business Administration,FIA44101,Financial Statement Analysis,Jeong Hwan Joo,Undergraduate Course,Financial Accounting
School of Business Administration,FIA45001,Data Science for finance,Sang-Ook Shin,Undergraduate Course,
School of New UNISTars,IE10101,Introduction to Data Science,Yongjae Lee,Undergraduate Course,
Department of Industrial Engineering,IE20101,Operations Research Ⅰ,Sang Jin Kweon,Undergraduate Course,Applied Linear Algebra
Department of Industrial Engineering,IE20701,Statistical Computing,Gi-soo Kim,Undergraduate Course,
Department of Industrial Engineering,IE30801,Service Intelligence,Chiehyeon Lim,Undergraduate Course,Industrial Operations Management
Department of Industrial Engineering,IE31301,Time-series Analysis,Yongjae Lee,Undergraduate Course,Statistics
Department of Industrial Engineering,IE40401,Data-driven Process Management,Comuzzi Marco,Undergraduate Course,
Department of Industrial Engineering,IE40801,Principles of Deep Learning,Sungbin Lim,Undergraduate Course,Introduction to AI Programming Ⅱ
Department of Industrial Engineering,IE42101,Blockchain Systems,Comuzzi Marco,Undergraduate Course,
Department of Industrial Engineering,IE42201,Social Network Analysis,Sunghoon Lim,Undergraduate Course,Data Mining
Department of Industrial Engineering,IE47001,Special Topics in IE I (Algorithmic Trading - Theory and Practice),Dong Young Lim,Undergraduate Course,
School of New UNISTars,ITP10701,Introduction to AI Programming Ⅰ,Michael Burrell,Undergraduate Course,
School of New UNISTars,ITP11101,Probability and Random Process,Joong Soo Ma,Undergraduate Course,
School of New UNISTars,ITP11201,Discrete Mathematics,Michael Burrell,Undergraduate Course,
School of New UNISTars,ITP11701,Introduction to AI Programming Ⅱ,Seungyul Han,Undergraduate Course,
School of New UNISTars,ITP11702,Introduction to AI Programming Ⅱ,Kyungdon Joo,Undergraduate Course,
School of Liberal Arts,LNG10001,Korean Writing,Jinsook Choi,Undergraduate Course,
School of Liberal Arts,LNG10002,Korean Writing,Yun Na Jeong,Undergraduate Course,
School of Liberal Arts,LNG10003,Korean Writing,Yun Na Jeong,Undergraduate Course,
School of Liberal Arts,LNG20101,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20102,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20103,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20104,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
